abbr,name,2020,2021,2022,2023
FI,Finland,0.0031194731427768886,123.68954750727053,324.0966931054007,272.8962025511961
PT,Portugal,0.008074080685833568,94.76575215461551,242.5245144853165,206.59038921849464
IT,Italy,0.0044160534693567675,87.61765854758389,233.81206421521546,185.25438196067645
SE,Sweden,0.0022231713519970634,80.13468584042538,207.8249773500665,169.83710110592926
FR,France,0.00015423301672115846,85.96513811606468,222.8472362027149,123.81225824289777
LT,Lithuania,0.008712675683317288,73.88797323909672,159.73731842674817,121.51475928461598
PL,Poland,0.002874798547810749,65.42757646936816,140.96064232349713,111.13456467462252
DK,Denmark,0.00797216029572215,44.96831347443244,111.52605503231044,94.07741700932414
IE,Ireland,0.0008856990919418907,45.02820093631173,109.79480802011192,88.52354238089131
NL,Netherlands,1.321263116049699e-06,38.864806395745475,101.50032546285854,85.97722614478825
ES,Spain,0.0020368830675609843,44.471691555264115,103.57546124894246,85.55183170326656
BE,Belgium,8.505143007904576e-05,45.3900908578939,111.53701224599926,84.74185839464303
MT,Malta,0.0031133153504714667,55.425318386032274,117.39695661018253,81.90331891630906
EL,Greece,0.0004087300865367706,37.72354211049853,98.37415037113612,77.92716652583937
DE,Germany,0.003932318545096728,43.31243712534601,108.90724279216889,77.43252657026463
NO,Norway,0.00045979752514168395,42.59051845282219,106.7743686771057,77.29942442548922
LU,Luxembourg,0.001349607415972963,37.93054900872241,96.01509343614576,75.63313192315137
CY,Cyprus,0.0038051587547367413,41.832246215343154,99.47044120930946,72.09179504142786
LI,Liechtenstein,0.0,38.33148124439892,90.80978795471215,71.18650424068558
CZ,Czechia,0.001455403850723293,36.163237739232656,83.64086466811624,65.77632758105014
EE,Estonia,0.0020880738252609526,35.576594758535265,78.30511070608229,61.723992385799455
HU,Hungary,0.0013273929564238838,43.38655112853438,82.61051648571426,61.222051682861284
AT,Austria,0.0006015011239105797,41.78659136699274,103.09315267821256,55.84750009070294
SI,Slovenia,0.006221786654744756,31.459217538215334,69.6153640691803,52.37909302638181
HR,Croatia,0.003746520902920409,29.64988743730462,67.31886058465925,52.13325251962863
LV,Latvia,0.001186784960750652,28.184231401348313,74.87240486291114,47.70539743226199
SK,Slovakia,0.0008878916750169893,29.5692287929891,65.27890179238851,47.14896021439048
IS,Iceland,0.013574673059917502,47.087520261238765,103.63948936263478,45.32953737489659
RO,Romania,0.0,20.721981149340095,41.03253970165296,31.630294457855044
BG,Bulgaria,0.0006817251342951042,12.669189977418828,32.90387181411184,25.08473208101777
