abbr,year,population
AL,2015,2885796.0
AL,2016,2875592.0
AL,2017,2876591.0
AL,2018,2870324.0
AL,2019,2862427.0
AL,2020,2845955.0
AL,2021,2829741.0
AL,2022,2793592.0
AL,2023,2761785.0
AL,2024,2761785.0
AM,2015,3010598.0
AM,2016,2998577.0
AM,2017,2986151.0
AM,2018,2972732.0
AM,2019,2965269.0
AM,2020,2959694.0
AM,2021,2963251.0
AM,2022,2970190.5
AM,2023,2977130.0
AM,2024,2991201.0
AT,2015,8584926.0
AT,2016,8700471.0
AT,2017,8772865.0
AT,2018,8822267.0
AT,2019,8858775.0
AT,2020,8901064.0
AT,2021,8932664.0
AT,2022,8978929.0
AT,2023,9104772.0
AT,2024,9158750.0
BE,2015,11237274.0
BE,2016,11311117.0
BE,2017,11351727.0
BE,2018,11398589.0
BE,2019,11455519.0
BE,2020,11522440.0
BE,2021,11554767.0
BE,2022,11617623.0
BE,2023,11742796.0
BE,2024,11817096.0
BG,2015,7029690.0
BG,2016,6938759.0
BG,2017,6849518.0
BG,2018,6757418.0
BG,2019,6664177.0
BG,2020,6569275.0
BG,2021,6532117.0
BG,2022,6482484.0
BG,2023,6447710.0
BG,2024,6445481.0
CH,2015,8237666.0
CH,2016,8327126.0
CH,2017,8419550.0
CH,2018,8484130.0
CH,2019,8544527.0
CH,2020,8606033.0
CH,2021,8670300.0
CH,2022,8738791.0
CH,2023,8815385.0
CH,2024,8962258.0
CY,2015,860846.0
CY,2016,863764.0
CY,2017,869878.0
CY,2018,878601.0
CY,2019,890194.0
CY,2020,902429.0
CY,2021,914476.0
CY,2022,929764.0
CY,2023,949084.0
CY,2024,966365.0
CZ,2015,10538275.0
CZ,2016,10553843.0
CZ,2017,10578820.0
CZ,2018,10610055.0
CZ,2019,10649800.0
CZ,2020,10693939.0
CZ,2021,10494836.0
CZ,2022,10516707.0
CZ,2023,10827529.0
CZ,2024,10900555.0
DE,2015,81197537.0
DE,2016,82175684.0
DE,2017,82521653.0
DE,2018,82792351.0
DE,2019,83019213.0
DE,2020,83166711.0
DE,2021,83155031.0
DE,2022,83237124.0
DE,2023,83118501.0
DE,2024,83456045.0
DK,2015,5659715.0
DK,2016,5707251.0
DK,2017,5748769.0
DK,2018,5781190.0
DK,2019,5806081.0
DK,2020,5822763.0
DK,2021,5840045.0
DK,2022,5873420.0
DK,2023,5932654.0
DK,2024,5961249.0
EE,2015,1314870.0
EE,2016,1315944.0
EE,2017,1315635.0
EE,2018,1319133.0
EE,2019,1324820.0
EE,2020,1328976.0
EE,2021,1330068.0
EE,2022,1331796.0
EE,2023,1365884.0
EE,2024,1374687.0
EL,2015,10858018.0
EL,2016,10783748.0
EL,2017,10768193.0
EL,2018,10741165.0
EL,2019,10724599.0
EL,2020,10718565.0
EL,2021,10678632.0
EL,2022,10459782.0
EL,2023,10413982.0
EL,2024,10400720.0
ES,2015,46425722.0
ES,2016,46418884.0
ES,2017,46497393.0
ES,2018,46645070.0
ES,2019,46918951.0
ES,2020,47318050.0
ES,2021,47400798.0
ES,2022,47486843.0
ES,2023,48085361.0
ES,2024,48619695.0
FI,2015,5471753.0
FI,2016,5487308.0
FI,2017,5503297.0
FI,2018,5513130.0
FI,2019,5517919.0
FI,2020,5525292.0
FI,2021,5533793.0
FI,2022,5548241.0
FI,2023,5563970.0
FI,2024,5603851.0
FR,2015,66458153.0
FR,2016,66638391.0
FR,2017,66809816.0
FR,2018,67026224.0
FR,2019,67290471.0
FR,2020,67473651.0
FR,2021,67728568.0
FR,2022,68091703.0
FR,2023,68277210.0
FR,2024,68467362.0
GE,2015,3729500.0
GE,2016,3720400.0
GE,2017,3718200.0
GE,2018,3729633.0
GE,2019,3723464.0
GE,2020,3716858.0
GE,2021,3728573.0
GE,2022,3688647.0
GE,2023,3736357.0
GE,2024,3694608.0
HR,2015,4180915.0
HR,2016,4131115.0
HR,2017,4078769.0
HR,2018,4014341.0
HR,2019,3968676.0
HR,2020,3933511.0
HR,2021,3893026.0
HR,2022,3862305.0
HR,2023,3850894.0
HR,2024,3861967.0
HU,2015,9815858.0
HU,2016,9779652.0
HU,2017,9739857.0
HU,2018,9713655.0
HU,2019,9700272.0
HU,2020,9689376.0
HU,2021,9651461.0
HU,2022,9610403.0
HU,2023,9599744.0
HU,2024,9584627.0
IE,2015,4677627.0
IE,2016,4726286.0
IE,2017,4799157.0
IE,2018,4855733.0
IE,2019,4940311.0
IE,2020,5012600.0
IE,2021,5066893.0
IE,2022,5154277.0
IE,2023,5271395.0
IE,2024,5351681.0
IS,2015,329100.0
IS,2016,332529.0
IS,2017,338349.0
IS,2018,348450.0
IS,2019,356991.0
IS,2020,364134.0
IS,2021,368792.0
IS,2022,376248.0
IS,2023,387758.0
IS,2024,383567.0
IT,2015,60295497.0
IT,2016,60163712.0
IT,2017,60066734.0
IT,2018,59937769.0
IT,2019,59816673.0
IT,2020,59641488.0
IT,2021,59236213.0
IT,2022,59030133.0
IT,2023,58997201.0
IT,2024,58971230.0
LI,2015,37366.0
LI,2016,37622.0
LI,2017,37810.0
LI,2018,38114.0
LI,2019,38378.0
LI,2020,38747.0
LI,2021,39055.0
LI,2022,39308.0
LI,2023,39677.0
LI,2024,40015.0
LT,2015,2926644.0
LT,2016,2895573.0
LT,2017,2859077.0
LT,2018,2826200.0
LT,2019,2812200.0
LT,2020,2809977.0
LT,2021,2810761.0
LT,2022,2805998.0
LT,2023,2857279.0
LT,2024,2885891.0
LU,2015,562958.0
LU,2016,576249.0
LU,2017,590667.0
LU,2018,602005.0
LU,2019,613894.0
