name,abbr,agegrp,year,deaths
Belgium,BE,LT80,2022,48739.0
Belgium,BE,LT80,2023,47038.0
Belgium,BE,LT80,2024,46840.32653061225
Belgium,BE,TOTAL,2015,112409.0
Belgium,BE,TOTAL,2016,107532.0
Belgium,BE,TOTAL,2017,109278.0
Belgium,BE,TOTAL,2018,110341.0
Belgium,BE,TOTAL,2019,108436.0
Belgium,BE,TOTAL,2020,128432.0
Belgium,BE,TOTAL,2021,111956.0
Belgium,BE,TOTAL,2022,116138.0
Belgium,BE,TOTAL,2023,111165.0
Belgium,BE,TOTAL,2024,110428.89795918367
Belgium,BE,Y20-39,2015,1680.0
Belgium,BE,Y20-39,2016,1665.0
Belgium,BE,Y20-39,2017,1624.0
Belgium,BE,Y20-39,2018,1576.0
Belgium,BE,Y20-39,2019,1506.0
Belgium,BE,Y20-39,2020,1537.0
Belgium,BE,Y20-39,2021,1557.0
Belgium,BE,Y20-39,2022,1501.0
Belgium,BE,Y20-39,2023,1501.0
Belgium,BE,Y20-39,2024,1510.1224489795918
Belgium,BE,Y40-59,2015,9814.0
Belgium,BE,Y40-59,2016,9129.0
Belgium,BE,Y40-59,2017,8793.0
Belgium,BE,Y40-59,2018,8666.0
Belgium,BE,Y40-59,2019,8318.0
Belgium,BE,Y40-59,2020,8926.0
Belgium,BE,Y40-59,2021,8512.0
Belgium,BE,Y40-59,2022,8331.0
Belgium,BE,Y40-59,2023,7898.0
Belgium,BE,Y40-59,2024,7680.081632653061
Belgium,BE,Y60-79,2015,35860.0
Belgium,BE,Y60-79,2016,34629.0
Belgium,BE,Y60-79,2017,34798.0
Belgium,BE,Y60-79,2018,34996.0
Belgium,BE,Y60-79,2019,34530.0
Belgium,BE,Y60-79,2020,39909.0
Belgium,BE,Y60-79,2021,37910.0
Belgium,BE,Y60-79,2022,38251.0
Belgium,BE,Y60-79,2023,37102.0
Belgium,BE,Y60-79,2024,37123.755102040814
Belgium,BE,Y_GE80,2015,64297.0
Belgium,BE,Y_GE80,2016,61401.0
Belgium,BE,Y_GE80,2017,63280.0
Belgium,BE,Y_GE80,2018,64347.0
Belgium,BE,Y_GE80,2019,63351.0
Belgium,BE,Y_GE80,2020,77388.0
Belgium,BE,Y_GE80,2021,63304.0
Belgium,BE,Y_GE80,2022,67399.0
Belgium,BE,Y_GE80,2023,64127.0
Belgium,BE,Y_GE80,2024,63588.57142857143
Belgium,BE,Y_LT20,2015,758.0
Belgium,BE,Y_LT20,2016,708.0
Belgium,BE,Y_LT20,2017,783.0
Belgium,BE,Y_LT20,2018,756.0
Belgium,BE,Y_LT20,2019,731.0
Belgium,BE,Y_LT20,2020,672.0
Belgium,BE,Y_LT20,2021,673.0
Belgium,BE,Y_LT20,2022,656.0
Belgium,BE,Y_LT20,2023,537.0
Belgium,BE,Y_LT20,2024,526.3673469387755
Bulgaria,BG,LT80,2015,64107.0
Bulgaria,BG,LT80,2016,62033.0
Bulgaria,BG,LT80,2017,62529.0
Bulgaria,BG,LT80,2018,62269.0
Bulgaria,BG,LT80,2019,61992.0
Bulgaria,BG,LT80,2020,73742.0
Bulgaria,BG,LT80,2021,90339.0
Bulgaria,BG,LT80,2022,68771.0
Bulgaria,BG,LT80,2023,59453.0
Bulgaria,BG,LT80,2024,58924.666666666664
Bulgaria,BG,TOTAL,2015,112119.0
Bulgaria,BG,TOTAL,2016,107031.0
Bulgaria,BG,TOTAL,2017,109320.0
Bulgaria,BG,TOTAL,2018,108205.0
Bulgaria,BG,TOTAL,2019,107815.0
Bulgaria,BG,TOTAL,2020,125914.0
Bulgaria,BG,TOTAL,2021,148649.0
Bulgaria,BG,TOTAL,2022,118253.0
Bulgaria,BG,TOTAL,2023,100658.0
Bulgaria,BG,TOTAL,2024,99245.25
Bulgaria,BG,Y20-39,2015,1915.0
Bulgaria,BG,Y20-39,2016,1825.0
Bulgaria,BG,Y20-39,2017,1678.0
Bulgaria,BG,Y20-39,2018,1723.0
Bulgaria,BG,Y20-39,2019,1688.0
Bulgaria,BG,Y20-39,2020,1684.0
Bulgaria,BG,Y20-39,2021,2136.0
Bulgaria,BG,Y20-39,2022,1595.0
Bulgaria,BG,Y20-39,2023,1448.0
