abbr,year,population,vacc,dose1,dose2,dose3,dose4,dose5,dose6,dose7,doseUNK,total_dose,total_dose1,total_dose2,td1_sum,dose1_pop_ratio,td2_sum,dose2_pop_ratio,td_sum,dose_pop_ratio,name
AT,2023,8978929,COMBA.4-5,731,500,3128,61194,21747,0,0,0,87300,731,500,3967,0.00044181215822065194,2432,0.0002708563571445993,871076,0.09701335203786554,Austria
AT,2023,8978929,JANSS,14,0,1,3,4,0,0,0,22,14,0,352700,0.03928085409740961,882,9.822997820786867e-05,367743,0.04095622094795493,Austria
AT,2023,8978929,MOD,36,20,71,1772,1014,0,0,0,2913,36,20,563917,0.06280448369733183,547509,0.06097709426146481,1641326,0.1827975251836828,Austria
AT,2023,8978929,MODBA.1,6,3,25,566,134,0,0,0,734,6,3,86,9.577979734554088e-06,45,5.011733582034116e-06,16940,0.001886639263992398,Austria
AT,2023,8978929,NVXD,36,63,61,75,43,0,0,0,278,36,63,4638,0.0005165426745216495,3813,0.0004246608921843574,14808,0.0016491944640613597,Austria
AT,2023,8978929,SGSK,2,1,7,130,167,0,0,0,307,2,1,2,2.227437147570718e-07,1,1.113718573785359e-07,349,3.886877822510903e-05,Austria
AT,2023,8978929,UNK,0,0,0,0,0,0,0,9,9,0,0,0,0.0,0,0.0,9673,0.0010772999764225779,Austria
AT,2023,8978929,VLA,34,51,39,44,23,0,0,0,191,34,51,494,5.501769754499674e-05,478,5.3235747826940165e-05,2206,0.0002456863173770502,Austria
BE,2020,11522440,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Belgium
BE,2020,11522440,COM,980,0,0,0,0,0,0,0,980,980,0,980,8.505143007904576e-05,0,0.0,980,8.505143007904576e-05,Belgium
BE,2020,11522440,COMBA.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Belgium
BE,2020,11522440,COMBA.4-5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Belgium
BE,2020,11522440,JANSS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Belgium
BE,2020,11522440,MOD,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Belgium
BE,2020,11522440,MODBA.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Belgium
BE,2020,11522440,NVXD,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Belgium
BE,2021,11554767,AZ,1432210,1416790,0,0,0,0,0,0,2849000,1432210,1416790,1432210,0.12394970837577253,1416790,0.12261519423109095,2849000,0.24656490260686348,Belgium
BE,2021,11554767,COM,5892648,5825451,3421421,0,0,0,0,0,15139520,5892648,5825451,5893628,0.510060306711507,5825451,0.5041599713780468,15140500,1.3103249940046389,Belgium
BE,2021,11554767,COMBA.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Belgium
BE,2021,11554767,COMBA.4-5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Belgium
BE,2021,11554767,JANSS,425500,0,0,0,0,0,0,0,425500,425500,0,425500,0.03682462831141468,0,0.0,425500,0.03682462831141468,Belgium
BE,2021,11554767,MOD,692807,684359,963075,0,0,0,0,0,2340241,692807,684359,692807,0.05995854351714751,684359,0.0592274167016955,2340241,0.20253467681347448,Belgium
BE,2021,11554767,MODBA.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Belgium
BE,2021,11554767,NVXD,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Belgium
BE,2022,11617623,AZ,62,144,0,0,0,0,0,0,206,62,144,1432272,0.12328442745990294,1416934,0.12196419181445292,2849206,0.24524861927435587,Belgium
BE,2022,11617623,COM,51853,69355,793183,707263,27665,0,0,0,1649319,51853,69355,5945481,0.5117639813238904,5894806,0.5074020735566992,16789819,1.4452026029765297,Belgium
BE,2022,11617623,COMBA.1,0,0,20409,2629888,400199,0,0,0,3050496,0,0,0,0.0,0,0.0,3050496,0.26257488300317544,Belgium
BE,2022,11617623,COMBA.4-5,0,0,10426,420961,49488,0,0,0,480875,0,0,0,0.0,0,0.0,480875,0.041391857869720855,Belgium
BE,2022,11617623,JANSS,2040,0,540,128,13,0,0,0,2721,2040,0,427540,0.036800987603057875,0,0.0,428221,0.03685960544596773,Belgium
BE,2022,11617623,MOD,3787,3960,1920342,41872,1390,0,0,0,1971351,3787,3960,696594,0.05996011404398301,688319,0.059247834087919705,4311592,0.37112514324143586,Belgium
BE,2022,11617623,MODBA.1,0,0,478,60363,5238,0,0,0,66079,0,0,0,0.0,0,0.0,66079,0.005687824437064277,Belgium
BE,2022,11617623,NVXD,1085,1042,269,107,7,0,0,0,2510,1085,1042,1085,9.33925984687229e-05,1042,8.969132498102236e-05,2510,0.00021605108032856634,Belgium
BE,2023,11617623,AZ,0,0,0,0,0,0,0,0,0,0,0,1432272,0.12328442745990294,1416934,0.12196419181445292,2849206,0.24524861927435587,Belgium
BE,2023,11617623,COM,206,195,206,1297,783,0,0,0,2687,206,195,5945687,0.5117817130061804,5895001,0.5074188584015853,16792506,1.4454338895314471,Belgium
BE,2023,11617623,COMBA.1,0,0,102,858,427,0,0,0,1387,0,0,0,0.0,0,0.0,3051883,0.2626942705921857,Belgium
BE,2023,11617623,COMBA.4-5,0,0,2709,24623,9392,0,0,0,36724,0,0,0,0.0,0,0.0,517599,0.044552917580472355,Belgium
BE,2023,11617623,JANSS,22,0,9,4,1,0,0,0,36,22,0,427562,0.03680288127786553,0,0.0,428257,0.03686270418656209,Belgium
BE,2023,11617623,MOD,5,3,25,161,78,0,0,0,272,5,3,696599,0.059960544424621114,688322,0.05924809231630257,4311864,0.3711485559481488,Belgium
BE,2023,11617623,MODBA.1,0,0,6,150,1210,0,0,0,1366,0,0,0,0.0,0,0.0,67445,0.005805404427394485,Belgium
BE,2023,11617623,NVXD,4,4,2,8,1,0,0,0,19,4,4,1089,9.373690297920668e-05,1046,9.003562949150614e-05,2529,0.00021768652675336426,Belgium
BG,2020,6951482,COM,4739,0,0,0,0,0,0,0,4739,4739,0,4739,0.0006817251342951042,0,0.0,4739,0.0006817251342951042,Bulgaria
BG,2020,6951482,MOD,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,Bulgaria
BG,2021,6916548,AZ,248130,230321,0,0,0,0,0,0,478451,248130,230321,248130,0.03587483235856962,230321,0.03329999300228958,478451,0.0691748253608592,Bulgaria
BG,2021,6916548,COM,1046979,1019611,235152,0,0,0,0,0,2301742,1046979,1019611,1051718,0.15205822326397503,1019611,0.14741616771834737,2306481,0.333472853799323,Bulgaria
BG,2021,6916548,JANSS,465729,0,6,0,0,0,0,0,465735,465729,0,465729,0.06733546850249575,0,0.0,465735,0.06733633598725838,Bulgaria
BG,2021,6916548,MOD,190723,182622,39904,0,0,0,0,0,413249,190723,182622,190723,0.027574882730518172,182622,0.026403633720173705,413249,0.05974786844535743,Bulgaria
BG,2022,6838937,AZ,32,41,0,0,0,0,0,0,73,32,41,248162,0.036286633434406544,230362,0.03368388976240021,478524,0.06997052319680676,Bulgaria
BG,2022,6838937,COM,65507,91579,463602,102261,0,0,0,0,722949,65507,91579,1117225,0.16336237634591458,1111190,0.16247992926386073,3029430,0.4429679641733796,Bulgaria
BG,2022,6838937,JANSS,48273,0,15488,0,0,0,0,0,63761,48273,0,514002,0.07515817151115736,0,0.0,529496,0.07742372827823973,Bulgaria
BG,2022,6838937,MOD,5678,10710,72253,8487,0,0,0,0,97128,5678,10710,196401,0.02871805954638857,193332,0.028269305595299388,510377,0.07462811837570664,Bulgaria
BG,2023,6838937,AZ,0,0,0,0,0,0,0,0,0,0,0,248162,0.036286633434406544,230362,0.03368388976240021,478524,0.06997052319680676,Bulgaria
BG,2023,6838937,COM,483,595,4448,2345,0,0,0,0,7871,483,595,1117708,0.16343300135678981,1111785,0.16256693108885198,3037301,0.444118874029692,Bulgaria
BG,2023,6838937,JANSS,2273,0,0,0,0,0,0,0,2273,2273,0,516275,0.0754905331047793,0,0.0,531769,0.07775608987186167,Bulgaria
BG,2023,6838937,MOD,0,0,96,109,0,0,0,0,205,0,0,196401,0.02871805954638857,193332,0.028269305595299388,510582,0.0746580937944011,Bulgaria
CY,2020,888005,COM,3010,0,0,0,0,0,0,0,3010,3010,0,3010,0.0033896205539383226,0,0.0,3010,0.0033896205539383226,Cyprus
CY,2021,896007,AZ,130193,124297,0,0,0,0,0,0,254490,130193,124297,130193,0.14530355231599754,124297,0.13872324658177893,254490,0.2840267988977765,Cyprus
CY,2021,896007,COM,412606,406463,255409,0,0,0,0,0,1074478,412606,406463,415616,0.46385351900152566,406463,0.45363819702301433,1077488,1.202544176552192,Cyprus
CY,2021,896007,JANSS,22596,0,3954,0,0,0,0,0,26550,22596,0,22596,0.025218552980054845,0,0.0,26550,0.029631464932751643,Cyprus
CY,2021,896007,MOD,47035,44780,43570,0,0,0,0,0,135385,47035,44780,47035,0.052494009533407666,44780,0.0499772881238651,135385,0.15109814990284673,Cyprus
CY,2022,904705,AZ,4,37,0,0,0,0,0,0,41,4,37,130197,0.14391099861280748,124334,0.13743043312460967,254531,0.28134143173741716,Cyprus
CY,2022,904705,COM,6973,13456,129697,33921,0,0,0,0,184047,6973,13456,422589,0.46710143085315103,419919,0.4641501926042191,1261535,1.3944158593132567,Cyprus
CY,2022,904705,COMBA.1,0,0,422,445,2,0,0,0,869,0,0,0,0.0,0,0.0,869,0.0009605340967497693,Cyprus
CY,2022,904705,COMBA.4-5,0,19,1292,25353,10852,0,0,0,37516,0,19,0,0.0,19,2.1001320872549615e-05,37516,0.04146766072918797,Cyprus
CY,2022,904705,JANSS,1824,301,2333,0,0,0,0,0,4458,1824,301,24420,0.026992223984613768,301,0.000332705135928286,31008,0.03427415566400097,Cyprus
CY,2022,904705,MOD,5761,6211,48448,1784,0,0,0,0,62204,5761,6211,52796,0.05835714404142787,50991,0.056362018558535655,197589,0.21840157841506347,Cyprus
CY,2022,904705,MODBA.1,0,1,44,491,151,0,0,0,687,0,1,0,0.0,1,1.1053326775026114e-06,687,0.000759363549444294,Cyprus
CY,2022,904705,MODBA.4-5,0,2,46,520,139,0,0,0,707,0,2,0,0.0,2,2.210665355005223e-06,707,0.0007814702029943462,Cyprus
CY,2022,904705,NVXD,785,107,6,0,0,0,0,0,898,785,107,785,0.0008676861518395499,107,0.00011827059649277941,898,0.000992588744397345,Cyprus
CY,2023,904705,AZ,0,0,0,0,0,0,0,0,0,0,0,130197,0.14391099861280748,124334,0.13743043312460967,254531,0.28134143173741716,Cyprus
CY,2023,904705,COM,596,166,0,1,0,0,0,0,763,596,166,423185,0.46776020912894256,420085,0.4643336778286845,1262298,1.3952592281461913,Cyprus
CY,2023,904705,COMBA.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,869,0.0009605340967497693,Cyprus
CY,2023,904705,COMBA.4-5,0,7,707,7418,3356,0,0,63,11551,0,7,0,0.0,26,2.8738649615067896e-05,49067,0.05423535848702063,Cyprus
CY,2023,904705,JANSS,51,1,6,0,0,0,0,0,58,51,1,24471,0.0270485959511664,302,0.00033381046860578864,31066,0.03433826495929612,Cyprus
CY,2023,904705,MOD,0,0,0,0,0,0,0,0,0,0,0,52796,0.05835714404142787,50991,0.056362018558535655,197589,0.21840157841506347,Cyprus
CY,2023,904705,MODBA.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1.1053326775026114e-06,687,0.000759363549444294,Cyprus
CY,2023,904705,MODBA.4-5,0,0,38,662,138,0,0,3,841,0,0,0,0.0,2,2.210665355005223e-06,1548,0.0017110549847740423,Cyprus
CY,2023,904705,NVXD,0,0,3,0,0,0,0,0,3,0,0,785,0.0008676861518395499,107,0.00011827059649277941,901,0.0009959047424298528,Cyprus
CZ,2020,10693939,COM,14295,0,0,0,0,0,0,0,14295,14295,0,14295,0.0013367385020617753,0,0.0,14295,0.0013367385020617753,Czechia
CZ,2020,10693939,MOD,1,0,0,0,0,0,0,0,1,1,0,1,9.351091305084123e-08,0,0.0,1,9.351091305084123e-08,Czechia
CZ,2021,10494836,AZ,446746,438999,154,0,0,0,0,0,885899,446746,438999,446746,0.042568173528390534,438999,0.04183000096428377,885899,0.08441284837609658,Czechia
CZ,2021,10494836,COM,5092242,5003083,2097051,0,0,0,0,0,12192376,5092242,5003083,5106537,0.4865761599323705,5003083,0.47671854996114277,12206671,1.163112124858359,Czechia
CZ,2021,10494836,JANSS,404230,24,1307,0,0,0,0,0,405561,404230,24,404230,0.03851703828435242,24,2.286838974901561e-06,405561,0.03864386256250217,Czechia
CZ,2021,10494836,MOD,508416,489639,325273,0,0,0,0,0,1323328,508416,489639,508417,0.04844449212927196,489639,0.04665523120132606,1323329,0.12609334724239615,Czechia
CZ,2022,10516707,AZ,9,36,172,1,0,0,0,0,218,9,36,446755,0.042480502689672725,439035,0.04174643260480681,886117,0.08425802867760793,Czechia
CZ,2022,10516707,COM,62312,110828,1575163,273224,30,0,0,0,2021557,62312,110828,5168849,0.49148930363848686,5113911,0.4862654250993205,14228228,1.3529166496699014,Czechia
CZ,2022,10516707,COMBA.1,58,139,10289,105367,9,0,0,0,115862,58,139,58,5.515034316350165e-06,139,1.3217064999528845e-05,115862,0.01101694665449936,Czechia
CZ,2022,10516707,COMBA.4-5,203,251,30347,367248,530,0,0,0,398579,203,251,203,1.930262010722558e-05,251,2.386678643799813e-05,398579,0.03789960108235401,Czechia
CZ,2022,10516707,JANSS,6942,6,909,26,0,0,0,0,7883,6942,6,411172,0.0390970291365919,30,2.8526039567328444e-06,413444,0.039313066342915134,Czechia
CZ,2022,10516707,MOD,9176,19365,240886,21771,7,0,0,0,291205,9176,19365,517593,0.04921626132590744,509004,0.04839956081309482,1614534,0.15352086922265687,Czechia
CZ,2022,10516707,MODBA.1,2,4,656,6977,5,0,0,0,7644,2,4,2,1.9017359711552295e-07,4,3.803471942310459e-07,7644,0.0007268434881755287,Czechia
CZ,2022,10516707,NVXD,5433,5096,200,249,0,0,0,0,10978,5433,5096,5433,0.0005166065765643181,5096,0.0004845623254503525,10978,0.0010438628745671054,Czechia
